Memory Usage(%), PCI Throughput(GB/s), Core Util(%), Mem Util(%)
0.12325232061,0.003,0,0
1.41740168702,0.0,0,0
1.81180911297,0.0,0,0
2.37876978777,0.054,3,0
2.37876978777,0.047,13,1
2.37876978777,0.062,13,1
2.37876978777,0.059,13,1
2.37876978777,0.05,12,1
2.37876978777,0.06,12,1
2.37876978777,0.045,13,1
2.37876978777,0.046,13,1
2.37876978777,0.056,12,1
2.37876978777,0.067,12,1
2.37876978777,0.05,13,1
2.37876978777,0.061,12,1
2.37876978777,0.061,13,1
2.37876978777,0.053,13,1
2.37876978777,0.049,12,1
2.37876978777,0.031,13,1
2.37876978777,0.038,13,1
2.37876978777,0.056,12,1
2.37876978777,0.069,12,1
2.37876978777,0.058,13,1
2.37876978777,0.059,12,1
2.37876978777,0.071,12,1
2.37876978777,0.067,11,1
2.37876978777,0.071,12,1
2.37876978777,0.05,11,1
2.37876978777,0.057,12,1
2.37876978777,0.06,13,1
2.37876978777,0.055,13,1
2.37876978777,0.043,12,1
2.37876978777,0.055,12,1
2.37876978777,0.068,13,1
2.37876978777,0.06,12,1
2.37876978777,0.055,12,1
2.37876978777,0.053,13,1
2.37876978777,0.05,12,1
2.37876978777,0.045,13,1
2.37876978777,0.05,13,1
2.37876978777,0.068,12,1
2.37876978777,0.055,12,1
2.37876978777,0.057,12,1
2.37876978777,0.053,13,1
2.37876978777,0.06,12,1
2.37876978777,0.053,12,1
2.37876978777,0.063,13,1
2.37876978777,0.062,12,1
2.37876978777,0.061,12,1
2.37876978777,0.056,12,1
2.37876978777,0.062,12,1
2.37876978777,0.063,13,1
2.37876978777,0.05,12,1
2.37876978777,0.073,12,1
2.37876978777,0.056,13,1
2.37876978777,0.054,13,1
2.37876978777,0.054,13,1
2.37876978777,0.039,13,1
2.37876978777,0.062,12,1
2.37876978777,0.06,12,1
2.37876978777,0.051,13,1
2.37876978777,0.056,11,1
2.37876978777,0.045,12,1
2.37876978777,0.051,12,1
2.37876978777,0.073,11,1
2.37876978777,0.071,13,1
2.37876978777,0.069,12,1
2.37876978777,0.051,12,1
2.37876978777,0.048,13,1
2.37876978777,0.05,13,1
2.37876978777,0.056,12,1
2.37876978777,0.064,13,1
2.37876978777,0.062,13,1
2.37876978777,0.053,12,1
2.37876978777,0.061,13,1
2.37876978777,0.067,12,1
2.37876978777,0.046,12,1
2.37876978777,0.044,12,1
2.37876978777,0.062,13,1
2.37876978777,0.067,13,1
2.37876978777,0.044,11,1
2.37876978777,0.05,13,1
2.37876978777,0.065,12,1
2.37876978777,0.071,12,1
2.37876978777,0.05,12,1
2.37876978777,0.054,13,1
2.37876978777,0.05,12,1
2.37876978777,0.059,12,1
2.37876978777,0.054,13,1
2.37876978777,0.05,12,1
2.37876978777,0.044,12,1
2.37876978777,0.068,12,1
2.37876978777,0.051,12,1
2.37876978777,0.055,13,1
2.37876978777,0.045,13,1
2.37876978777,0.05,13,1
2.37876978777,0.068,12,1
2.37876978777,0.071,12,1
2.37876978777,0.042,12,1
2.37876978777,0.073,12,1
2.37876978777,0.049,12,1
2.37876978777,0.068,12,1
2.37876978777,0.071,12,1
2.37876978777,0.072,12,1
2.37876978777,0.055,13,1
2.37876978777,0.062,13,1
2.37876978777,0.073,13,1
2.37876978777,0.047,13,1
2.37876978777,0.063,12,1
2.37876978777,0.05,12,1
2.37876978777,0.052,12,1
2.37876978777,0.065,14,1
2.37876978777,0.041,13,1
2.37876978777,0.044,13,1
2.37876978777,0.054,12,1
2.37876978777,0.047,13,1
2.37876978777,0.052,12,1
2.37876978777,0.052,13,1
2.37876978777,0.048,13,1
2.37876978777,0.053,12,1
2.37876978777,0.064,12,1
2.37876978777,0.05,12,1
2.37876978777,0.052,12,1
2.37876978777,0.053,12,1
2.37876978777,0.051,12,1
2.37876978777,0.057,14,1
2.37876978777,0.049,12,1
2.37876978777,0.055,12,1
2.37876978777,0.068,12,1
2.37876978777,0.044,12,1
2.37876978777,0.065,12,1
2.37876978777,0.055,13,1
2.37876978777,0.044,12,1
2.37876978777,0.046,12,1
2.37876978777,0.056,12,1
2.37876978777,0.068,13,1
2.37876978777,0.071,13,1
2.37876978777,0.049,12,1
2.37876978777,0.073,12,1
2.37876978777,0.043,12,1
2.37876978777,0.036,13,1
2.37876978777,0.063,12,1
2.37876978777,0.064,12,1
2.37876978777,0.049,12,1
2.37876978777,0.055,11,1
2.37876978777,0.061,13,1
2.37876978777,0.047,12,1
2.37876978777,0.054,12,1
2.37876978777,0.071,13,1
2.37876978777,0.064,12,1
2.37876978777,0.056,13,1
2.37876978777,0.052,13,1
2.37876978777,0.046,13,1
2.37876978777,0.06,13,1
2.37876978777,0.047,12,1
2.37876978777,0.056,12,1
2.37876978777,0.062,12,1
2.37876978777,0.056,13,1
2.37876978777,0.049,13,1
2.37876978777,0.058,12,1
2.37876978777,0.058,12,1
2.37876978777,0.059,13,1
2.37876978777,0.077,13,1
2.37876978777,0.037,13,1
2.37876978777,0.074,13,1
2.37876978777,0.049,12,1
2.37876978777,0.051,13,1
2.37876978777,0.064,13,1
2.37876978777,0.07,12,1
2.37876978777,0.05,12,1
2.37876978777,0.064,13,1
2.37876978777,0.067,13,1
2.37876978777,0.038,12,1
2.37876978777,0.07,13,1
2.37876978777,0.059,13,1
2.37876978777,0.048,13,1
2.37876978777,0.054,11,1
2.37876978777,0.073,12,1
2.37876978777,0.069,12,1
2.37876978777,0.048,12,1
2.37876978777,0.065,12,1
2.37876978777,0.04,12,1
2.37876978777,0.068,12,1
2.37876978777,0.065,12,1
2.37876978777,0.05,12,1
2.37876978777,0.046,12,1
2.37876978777,0.074,12,1
2.37876978777,0.066,12,1
2.37876978777,0.048,12,1
2.37876978777,0.054,13,1
2.37876978777,0.045,13,1
2.37876978777,0.051,12,1
2.37876978777,0.058,13,1
2.37876978777,0.051,12,1
2.37876978777,0.072,12,1
2.37876978777,0.053,13,1
2.37876978777,0.07,13,1
2.37876978777,0.069,12,1
2.37876978777,0.066,12,1
2.37876978777,0.048,12,1
2.37876978777,0.053,13,1
2.37876978777,0.07,12,1
2.37876978777,0.067,13,1
2.37876978777,0.05,13,1
2.37876978777,0.051,12,1
2.37876978777,0.06,13,1
2.37876978777,0.062,13,1
2.37876978777,0.051,13,1
2.37876978777,0.047,13,1
2.37876978777,0.068,12,1
2.37876978777,0.055,12,1
2.37876978777,0.051,12,1
2.37876978777,0.052,11,1
2.37876978777,0.059,12,1
2.37876978777,0.07,12,1
2.37876978777,0.056,12,1
2.37876978777,0.043,12,1
2.37876978777,0.036,13,1
2.37876978777,0.067,13,1
2.37876978777,0.06,13,1
2.37876978777,0.058,13,1
2.37876978777,0.069,12,1
2.37876978777,0.062,12,1
2.37876978777,0.065,13,1
2.37876978777,0.045,13,1
2.37876978777,0.065,13,1
2.37876978777,0.055,13,1
2.37876978777,0.062,13,1
2.37876978777,0.047,12,1
2.37876978777,0.066,13,1
2.37876978777,0.053,12,1
2.37876978777,0.055,12,1
2.37876978777,0.066,12,1
2.37876978777,0.048,13,1
2.37876978777,0.047,13,1
2.37876978777,0.071,12,1
2.37876978777,0.068,13,1
2.37876978777,0.063,12,1
2.37876978777,0.061,13,1
2.37876978777,0.05,13,1
2.37876978777,0.048,13,1
2.37876978777,0.065,12,1
2.37876978777,0.06,13,1
2.37876978777,0.062,13,1
2.37876978777,0.044,12,1
2.37876978777,0.05,13,1
2.37876978777,0.048,12,1
2.37876978777,0.04,12,1
2.37876978777,0.051,12,1
2.37876978777,0.063,12,1
2.37876978777,0.06,13,1
2.37876978777,0.04,13,1
2.37876978777,0.067,13,1
2.37876978777,0.061,12,1
2.37876978777,0.045,13,1
2.37876978777,0.01,0,0
0.0,0.0,0,0
